time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
16903,126,4,3462,155.49,217.10030797999997,336040,0.003,72654.8931640625,46.54143524169922,0.2791211366653442,-10030.983837890624
16985,127,4,3479,155.2,216.30512588,337680,0.003,70398.7287109375,48.060513496398926,0.5098358485847712,-11049.229931640624
17087,128,4,3500,156.01,217.98486541999995,339720,0.003,82516.02578125,50.79890384674072,-0.21533668152987956,-12094.501318359375
17200,129,4,3523,156.04,218.43266585999993,341980,0.003,110692.830078125,44.241096305847165,-0.4655346930027008,-13122.809326171875
17278,130,4,3539,156.57,219.60529321999994,343540,0.003,96631.2703125,48.3361873626709,0.2725199103355408,-13864.75302734375
17388,131,4,3561,157.29,221.44764909999995,345740,0.003,114280.378125,54.57702293395996,-0.06939093172550201,-15386.044775390625
17420,132,4,3568,157.1,221.71280688999997,346380,0.003,120049.97109375,53.81567096710205,0.2865573763847351,-15860.2265625
17582,133,4,3601,157.72,223.94258496999996,349620,0.003,116714.260546875,47.02434673309326,0.14178621172904968,-16787.4923828125
17645,134,4,3614,157.27,223.42562769999998,350880,0.003,151020.407421875,49.1378791809082,0.14229555018246173,-16862.720361328124
17713,135,4,3628,156.66,222.58362752999997,352240,0.003,142810.25,51.335181045532224,0.5618999198079109,-16777.98759765625
17813,136,4,3649,154.64,220.10999645,354240,0.003,126783.57734375,51.696827507019044,0.01597619391977787,-16943.124365234376
17964,137,4,3679,154.72,221.68685643,357260,0.003,185860.27734375,66.35824356079101,-0.12547143548727036,-17679.01533203125
18080,138,4,3703,150.33,218.34595692000002,359580,0.003,220127.4171875,67.85270690917969,0.1391198679804802,-19117.02890625
18275,139,4,3743,147.34,215.43568756000005,363480,0.003,229609.6375,68.50570144653321,0.2774542164057493,-21015.280078125
18410,140,4,3771,148.5,218.21306392,366180,0.003,244431.0375,79.99244384765625,0.3305312719196081,-22350.123046875
