time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
5,34834,152.06697073,6443,223.96,206,0.3282900402322412,0.3475929215550423,0.03,7716.67416895628,694660,13.183239793777465
5,34930,151.31398043000002,6460,223.7,207,-0.16543047688901424,0.5099267080426216,0.03,16824.877559125423,696580,15.344682979583741
5,35056,150.43100600000002,6480,224.01,208,-0.395369260199368,2.1906170010566712,0.03,7261.8215957641605,699100,22.324221324920654
5,35390,149.15715393,6532,225.24,209,-1.0034191285725682,0.6523833528161049,0.03,46409.848594594005,705780,47.5889105796814
5,35535,147.05627086,6562,225.05,210,0.40220787823200227,0.6294822543859482,0.03,30288.90859242678,708680,58.10252122879028
5,35667,142.39980871,6592,221.1,211,0.7720201134681701,0.261637744307518,0.03,28501.91905027032,711320,49.496220874786374
5,35788,139.22932391999996,6621,218.51,212,0.4439048573374748,1.778621506690979,0.03,11839.953019046783,713740,60.95059032440186
5,35925,139.14275345999997,6650,219.43,213,1.1357021898031234,0.46128187477588656,0.03,4891.418834877014,716480,50.89223947525024
5,36030,138.96583327999997,6663,219.76,214,-0.1937484573572874,0.703256043791771,0.03,10147.981366157532,718580,75.35117092132569
5,36134,138.50277339999997,6684,220.23,215,0.5891528576612473,0.43801357597112656,0.03,5645.455384254456,720660,51.28285636901855
5,36229,134.57269164999997,6706,218.65,216,-0.007310717483051121,1.191109961271286,0.03,17157.117286705972,722560,79.4447865486145
5,36354,126.68687428,6734,212.46,217,1.982149702310562,0.21878223717212678,0.03,14671.390041089058,725060,53.04872732162475
5,36605,127.62325155,6790,214.81,218,1.7133000791072845,0.37931159883737564,0.03,4247.112450790405,730080,59.10219511985779
5,36747,127.55632744999998,6822,216.03,219,2.125912368297577,0.23814834877848626,0.03,1938.9854679703712,732920,64.484618973732
5,36870,127.32563207000001,6850,217.05,220,1.4577859491109848,2.137255162000656,0.03,13350.187655544281,735380,58.01403293609619
5,37870,133.76934239,7023,222.67,221,0.027195474645122886,1.0219837456941605,0.03,11164.131916809081,755380,49.35610551834107
5,38019,122.65355745999999,7056,214.16,222,-0.5357205901294947,0.7878512769937516,0.03,932.250916159153,758360,50.34524884223938
5,39019,123.80948865999999,7261,214.16,223,1.4430857963860035,0.01839543944224715,0.03,298.3612077742815,778360,27.232993173599244
5,39138,123.22863731,7288,213.84,224,0.9402554273605347,0.19520480334758758,0.03,1010.1331407845021,780740,22.48594183921814
5,40138,122.10071241,7482,214.29,225,-0.5510028958320617,0.6047952979803085,0.03,1938.4419572114944,800740,10.421128082275391
5,40927,127.70119098000004,7625,220.3,226,0.49103111643344166,1.5129462361335755,0.03,6511.8456450462345,816520,11.063172006607056
5,41063,126.89780308000002,7654,219.76,227,3.0655265644192697,0.09555400870740413,0.03,677.3313500404358,819240,9.068243622779846
5,41189,125.68737334000001,7683,218.85,228,3.2209259808063506,0.04161693081259728,0.03,727.2865095376968,821760,16.265611791610716
5,41297,124.06712388,7707,217.86,229,-3.6388887226581574,0.055068057402968405,0.03,449.9274852603674,823920,12.820402836799621
5,41389,113.80742596,7724,208.78,230,3.1668814778327943,0.16645786464214324,0.03,256.25437078475954,825760,12.190619945526123
5,41470,112.28896406,7734,207.51,231,1.5626420378684998,0.11661506108939648,0.03,313.55107275247576,827380,9.661743295192718
5,41551,110.85530340999999,7748,206.31,232,-2.4497683107852937,0.18431394174695015,0.03,104.64676611423492,829000,8.670567727088928
5,41664,109.59670212,7774,205.22,233,3.166785252094269,0.06114443279802799,0.03,237.51747891902923,831260,4.9117572665214535
5,41748,107.96229818,7792,204.19,234,4.5123775720596315,0.05464967973530292,0.03,288.2318146497011,832940,-2.182536447048187
5,41844,106.49724094,7813,203.48,235,0.5362039908766747,0.02070636972784996,0.03,309.53703829944135,834860,-3.475519585609436
5,41973,105.32578930999998,7842,203.26,236,-3.108506327867508,0.15060399547219278,0.03,750.0876259565354,837440,-1.2973300397396088
5,42058,103.71932988,7861,202.51,237,3.7479265332221985,0.07320254035294056,0.03,242.7271621376276,839140,-7.611822406505235
5,42165,102.69700797000002,7885,201.61,238,1.1513676138594746,0.3199781835079193,0.03,452.266763818264,841280,-6.722760134935379
5,42266,101.49558937,7902,200.47,239,0.609293868765235,0.12668978795409203,0.03,205.45804984569548,843300,-10.535615491867066
5,42422,100.55584509000002,7926,199.78,240,0.46968442052602766,0.5737274631857872,0.03,706.3544782519341,846420,-12.02451057434082
5,42573,99.66425321999999,7949,199.29,241,-9.483495616912842,0.041628512926399706,0.03,1328.2583273112773,849440,-8.01519796848297
5,42722,98.45320391999996,7973,198.36,242,0.47959174029529095,0.4498863458633423,0.03,1275.49914970994,852420,-8.313818562030793
5,42881,97.57260849999999,7999,197.82,243,-7.3058837890625,0.10041782595217227,0.03,5557.858787024021,855600,-8.303414899110795
5,43881,105.83082743999998,8187,205.64,244,-0.10144237671047449,1.3422019004821777,0.03,19313.237771606444,875600,-11.748199391365052
5,44881,114.73047718999999,8375,213.73,245,1.432314360141754,0.30053444802761076,0.03,11796.189519429206,895600,17.62275896072388
5,45881,123.80568957999996,8516,221.88,246,0.7063789628446102,0.07832434251904488,0.03,11307.964588093757,915600,42.65879249572754
5,46881,132.80584209999998,8662,229.97,247,2.027022993564606,0.10647053383290768,0.03,45532.08518864513,935600,37.4091682434082
5,46971,131.68710739999997,8676,229.06,248,0.6772756189107895,1.7835611641407012,0.03,37841.424418592454,937400,16.279131984710695
5,47106,130.61988416,8702,228.28,249,0.40524750016629696,1.6387899518013,0.03,13575.493358564378,940100,80.20946521759033
5,47203,129.1001186,8724,227.09,250,-0.32498045898973943,0.25736278370022775,0.03,25001.048171579838,942040,84.35417051315308
5,47343,128.02083102,8750,226.43,251,1.3957057476043702,2.178169143199921,0.03,25826.86385374069,944840,78.8652413368225
5,47980,131.36953488999998,8863,230.19,252,2.3888346791267394,0.2705071076750755,0.03,6658.423006433249,957580,78.7230299949646
5,48064,130.33807465,8878,229.19,253,0.11484008654952049,1.569715565443039,0.03,2328.5751695632935,959260,87.15224170684814
5,48149,129.02784963,8898,227.91,254,0.06076195798814297,1.0844150483608246,0.03,5221.747435867786,960960,68.47333993911744
5,48244,127.52673807,8920,226.61,255,1.442281886935234,0.3079402968287468,0.03,3955.0394669532775,962860,59.860469055175784
5,48340,126.25774810000001,8942,225.55,256,0.8626788139343262,0.15682729557156563,0.03,2898.834081825614,964780,55.58709831237793
5,48428,125.00242444000001,8963,224.3,257,1.1810818135738372,0.44968225061893463,0.03,885.7281366825104,966540,55.44496536254883
5,48513,123.71480968,8981,223.04,258,2.252115619182587,0.23760564401745796,0.03,929.0524129986763,968240,50.144228267669675
5,48604,122.22553647,8996,221.71,259,0.10931298928335309,1.4558179557323456,0.03,2475.665543937683,970060,54.22824602127075
5,48689,121.35266918,9007,220.83,260,0.07841910913120956,0.7923286378383636,0.03,1251.2730437278747,971760,48.60917377471924
5,48769,120.09404288000002,9017,219.62,261,0.5391092836856842,0.23203514590859414,0.03,693.8660092711449,973360,41.4690824508667
5,48854,118.78174547,9030,218.43,262,0.15367346708662807,1.208308035135269,0.03,679.675291967392,975060,43.93259081840515
5,48930,117.45091314999999,9039,216.92,263,1.2631428778171538,0.050695554725825785,0.03,334.08498004674914,976580,37.23146781921387
5,49025,116.13167641,9057,215.81,264,0.5856520168483257,0.0714953288435936,0.03,1856.3126374483109,978480,24.431448221206665
5,49106,114.54051184,9076,214.25,265,-0.9200922600924969,0.09972950704395771,0.03,604.2579992890358,980100,19.43788549900055
5,49275,113.87704763000002,9105,213.87,266,-0.9785419195890427,0.2553150229156017,0.03,870.2474457263946,983480,14.996790552139283
5,49357,112.85082550999999,9121,212.98,267,-0.42378101535141466,0.2789416998624802,0.03,4249.833604955673,985120,14.46015043258667
5,49455,111.80458261999998,9143,212.06,268,-2.060216689109802,0.1242262814193964,0.03,407.5131654679775,987080,9.274593830108643
5,49546,106.78511257999999,9163,209.54,269,0.4896686688065529,0.09844693094491959,0.03,290.2646199852228,988900,11.224204993247985
5,49627,105.35264801000001,9176,208.14,270,2.96987926363945,0.01861970014870167,0.03,1397.6108341932297,990520,-2.2572256326675415
5,49731,101.55902542999998,9195,206.86,271,-0.009196866303682327,0.1179289784282446,0.03,648.6287047326565,992600,3.0163440465927125
5,49812,99.85671773,9212,205.21,272,-0.8784725308418274,0.6497456192970276,0.03,4804.615979254246,994220,0.7708327054977417
5,49893,96.43091304,9224,201.76,273,-0.7458664879202843,0.07003224194049835,0.03,102.71656149029732,995840,1.5761251211166383
5,50002,93.70128459999998,9246,201.46,274,-3.19246187210083,0.07979000173509121,0.03,240.29967324137687,998020,-3.326625108718872
5,50114,90.35233937000001,9267,200.52,275,-0.12773592323064803,0.19670515283942222,0.03,70.44022592902184,1000260,-3.4364683985710145
5,50235,89.47823483,9291,199.82,276,3.0331354260444643,0.1367361705750227,0.03,388.5945483624935,1002680,-10.909391152858735
5,50314,86.14590695999999,9305,198.71,277,3.605651891231537,0.04297371711581945,0.03,138.61807010769843,1004260,-11.116633665561675
5,50402,85.04715743000003,9317,197.8,278,-3.9098511219024656,0.020904078939929606,0.03,114.90865034759045,1006020,-9.938226926326752
5,50484,83.80389281000002,9330,196.61,279,-1.5655549459159375,0.031431302707642314,0.03,112.60568379461765,1007660,-13.425313568115234
5,50631,82.60595598,9355,195.69,280,0.7880630537867546,0.04804700426757336,0.03,110.93856311142444,1010600,-15.624918484687806
5,50714,76.56126017000001,9366,193.3,281,0.6720089986920357,0.2264839492738247,0.03,198.5561236023903,1012260,-15.867441749572754
5,50800,75.39228398,9385,191.51,282,1.6197813510894776,0.016191854421049357,0.03,84.26745855510235,1013980,-15.95481071472168
5,50876,75.31412982,9403,191.23,283,1.9418289046734571,0.01278027198277414,0.03,136.83004442453384,1015500,-18.03611116409302
5,50952,75.11629991,9420,190.77,284,-2.085228767991066,0.02234362028539181,0.03,245.9557336807251,1017020,-22.04540581703186
5,51028,73.26265717999999,9438,188.32,285,1.3355223417282105,0.026351347379386426,0.03,644.5499480307102,1018540,-18.822199726104735
5,51109,73.12179802,9451,188.43,286,-2.436006361246109,0.04805292617529631,0.03,35.90314593911171,1020160,-19.43193736076355
5,51225,73.26925759,9472,188.78,287,-2.1782431304454803,0.18362077996134757,0.03,382.52542117834093,1022480,-21.58977198600769
5,51298,73.28689314000002,9489,188.79,288,-1.4505491197109222,0.13562872037291526,0.03,43.88403249382973,1023940,-19.755838680267335
5,51380,73.23011895,9508,188.88,289,3.452035331726074,0.011643281765282154,0.03,616.1930131733418,1025580,-25.22578182220459
5,51458,73.04278642,9525,188.96,290,3.259937012195587,0.10155894160270691,0.03,60.97080900371075,1027140,-24.126702308654785
5,51544,73.10984333999998,9542,189.04,291,1.9783518955111503,0.017628027219325305,0.03,56.459913754463194,1028860,-23.659422874450684
5,51637,72.88510761999999,9554,189.27,292,0.8161656903102994,0.07101313211023808,0.03,26.20346393585205,1030720,-23.525727462768554
5,51715,72.74803213,9569,189.35,293,1.6053545117378234,0.1885426603257656,0.03,77.55876992940902,1032280,-25.673180770874023
5,51787,72.74051060999999,9585,189.38,294,0.8048182308673859,0.11484911516308785,0.03,475.27745801210403,1033720,-27.66327018737793
