time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
33221,7247,338.71283987000004,257.83,4,163,-36588.529296875,-0.6575902670621872,0.003,662400,99.5123462677002,1088076.315625
34221,7463,346.85195257,266.75,4,164,-37083.76171875,0.337088443338871,0.003,682400,82.81038818359374,887831.584375
34724,7570,350.57226937,270.73,4,165,-41603.4244140625,-1.085465060174465,0.003,692460,190.82267684936522,3597683.55
34809,7590,350.53628066,270.84,4,166,-47845.7294921875,-0.2813525591045618,0.003,694160,165.26590270996093,5417253.125
34899,7611,350.59124660000003,270.91,4,167,-52589.54921875,-0.5403909929096699,0.003,695960,200.45004501342774,3792591.4875
35017,7636,350.13317775999997,270.43,4,168,-59978.3896484375,0.30539382845163343,0.003,698320,202.2951416015625,3838411.0375
35129,7661,351.87989568999996,271.12,4,169,-63966.265625,-0.31719368398189546,0.003,700560,197.91012878417968,3279850.9875
35251,7687,343.51685227,263.02,4,170,-66881.625390625,0.10531784519553185,0.003,703000,180.11863861083984,3216704.55
35642,7774,346.25306225,265.79,4,171,-74791.5859375,-0.6763481259346008,0.003,710820,148.62249069213868,3054910.6625
36103,7875,353.82036704999996,270.17,4,172,-73701.7046875,0.43499895855784415,0.003,720040,141.60147857666016,3137919.875
36553,7978,361.00948707,274.49,4,173,-63678.4931640625,0.15801040604710578,0.003,729040,113.47008323669434,2008528.03125
37347,8147,366.38103108999996,280.33,4,174,-50177.921484375,0.0997318796813488,0.003,744920,98.41786651611328,1688171.18125
37395,8157,366.60248675999986,280.39,4,175,-49810.05546875,-0.7649284832179546,0.003,745880,111.40063705444337,1370053.328125
37539,8190,366.2468843099999,280.17,4,176,-49823.2205078125,-0.3548085272312164,0.003,748760,118.97026672363282,1800138.79375
38089,8315,375.61170254999996,285.16,4,177,-42055.8634765625,0.06324035227298737,0.003,759760,84.52936820983886,1079966.865625
