time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss
1628,12.55,3,2.57108857,4938,158,0.03,0.258489191532135,0.050990939140319824,96740,-30.179073333740234,24.92417140007019
1634,12.68,3,2.70062468,4958,159,0.03,-1.2210026979446411,0.04627784341573715,97140,-32.84355163574219,21.45851511955261
1638,12.69,3,2.7018353000000004,4970,160,0.03,3.0277979373931885,0.04763725772500038,97380,-25.025325775146484,28.05167236328125
1643,12.75,3,2.74948333,4983,161,0.03,-1.4339851140975952,0.05860332027077675,97640,-24.94356918334961,28.90979676246643
1647,12.8,3,2.7876585300000003,4997,162,0.03,-3.0068717002868652,0.05355161800980568,97920,-27.004600524902344,29.650625896453857
1651,12.83,3,2.7995925400000004,5010,163,0.03,3.345862627029419,0.0481104776263237,98180,-26.291404724121094,21.782882118225096
1657,12.94,3,2.89219494,5028,164,0.03,0.1646997183561325,0.050474219024181366,98540,-27.467308044433594,20.597356176376344
1661,12.97,3,2.91505179,5040,165,0.03,-2.3286054134368896,0.04987412691116333,98780,-27.12104034423828,23.439334297180174
1665,13.0,3,2.9356742999999996,5051,166,0.03,-1.0147485733032227,0.04619920998811722,99000,-29.162002563476562,23.218427753448488
1669,13.0,3,2.9250234699999993,5063,167,0.03,-1.1110533475875854,0.04180815815925598,99240,-25.11441993713379,21.00965642929077
1672,13.01,3,2.92285661,5074,168,0.03,4.333820819854736,0.038524702191352844,99460,-31.818756103515625,21.529162168502808
1676,13.03,3,2.9428396200000004,5084,169,0.03,3.3974928855895996,0.05202420800924301,99660,-28.46295928955078,42.276297855377194
1680,13.08,3,2.9912183700000003,5096,170,0.03,-1.3162816762924194,0.07471189647912979,99900,-31.77947425842285,22.59083757400513
1683,13.05,3,2.97244607,5105,171,0.03,-3.044973373413086,0.06934566795825958,100080,-30.039337158203125,23.356673002243042
1687,13.06,3,2.9736116,5117,172,0.03,-2.9848828315734863,0.04310912638902664,100320,-32.768646240234375,21.883671951293945
1690,13.07,3,2.9782719499999994,5128,173,0.03,2.7475621700286865,0.031271666288375854,100540,-28.46938133239746,16.320133924484253
1694,13.06,3,2.9728969999999997,5138,174,0.03,4.520256996154785,0.037293095141649246,100740,-35.386566162109375,19.569239330291747
1697,13.08,3,2.99203909,5149,175,0.03,0.12975028157234192,0.05376044660806656,100960,-30.629669189453125,17.36339178085327
1701,13.09,3,2.9992729000000002,5160,176,0.03,-0.6405165195465088,0.05909418314695358,101180,-29.189905166625977,16.28703727722168
1705,13.15,3,3.0353625999999996,5173,177,0.03,-3.520298480987549,0.049500081688165665,101440,-30.347564697265625,20.381686162948608
1709,13.16,3,3.03162659,5185,178,0.03,-0.24265865981578827,0.032782070338726044,101680,-29.75493621826172,15.450192165374755
1713,13.21,3,3.06203751,5198,179,0.03,3.230196952819824,0.028008947148919106,101940,-23.865285873413086,17.26303176879883
1717,13.17,3,3.0454198800000007,5209,180,0.03,0.8225165009498596,0.035887692123651505,102160,-29.11343765258789,18.293574380874634
1721,13.19,3,3.0546799100000004,5221,181,0.03,0.851792573928833,0.050818707793951035,102400,-31.21929359436035,19.436440181732177
1726,13.2,3,3.0759911700000004,5235,182,0.03,0.1722554862499237,0.05457092076539993,102680,-31.03482437133789,17.20216770172119
1731,13.21,3,3.08469599,5249,183,0.03,0.22709856927394867,0.041946470737457275,102960,-32.55524444580078,16.13220081329346
1735,13.24,3,3.10331502,5262,184,0.03,0.8298865556716919,0.03684759885072708,103220,-31.058692932128906,15.358471155166626
1740,13.26,3,3.1230893899999996,5276,185,0.03,-0.7453252077102661,0.044860389083623886,103500,-35.016014099121094,18.67469925880432
1745,13.27,3,3.15158218,5291,186,0.03,0.7430885434150696,0.05455506220459938,103800,-29.214313507080078,17.280502796173096
1750,13.28,3,3.1867902800000003,5306,187,0.03,-0.3742271363735199,0.05650025233626366,104100,-34.097900390625,19.928377056121825
1760,13.46,3,3.3885345099999995,5336,188,0.03,1.122065782546997,0.044754039496183395,104700,-30.66771125793457,25.395164060592652
1819,15.09,3,6.38969747,5512,189,0.03,1.9115841388702393,0.04274129122495651,108220,-32.91669464111328,15.363098096847533
1823,15.09,3,6.39941398,5524,190,0.03,-0.7066587209701538,0.05108784884214401,108460,-31.63399887084961,16.627064609527586
1827,15.1,3,6.4067826000000005,5537,191,0.03,0.5498663187026978,0.046735577285289764,108720,-30.420917510986328,16.848648405075075
1833,15.14,3,6.445555110000002,5554,192,0.03,1.918248176574707,0.03709794580936432,109060,-32.96306228637695,17.03758535385132
1838,15.18,3,6.47914354,5571,193,0.03,-2.2857308387756348,0.051153555512428284,109400,-33.90694046020508,18.511472177505492
1844,15.23,3,6.522085530000002,5587,194,0.03,-3.4725542068481445,0.05019960552453995,109720,-28.69991683959961,16.939149713516237
1849,15.26,3,6.566731240000001,5601,195,0.03,3.5339572429656982,0.0374709889292717,110000,-27.608375549316406,18.452754259109497
1853,15.28,3,6.5935283600000005,5615,196,0.03,-0.4299042820930481,0.051126282662153244,110280,-34.89915084838867,16.675324821472167
1858,15.3,3,6.616234680000002,5630,197,0.03,-1.1613214015960693,0.05735040828585625,110580,-31.243181228637695,20.714502811431885
1864,15.34,3,6.684447710000001,5647,198,0.03,-3.6425728797912598,0.040666364133358,110920,-28.675403594970703,17.472595167160033
1869,15.34,3,6.6978205200000005,5661,199,0.03,2.4480347633361816,0.034292660653591156,111200,-28.029476165771484,18.036985158920288
1875,15.41,3,6.78839153,5679,200,0.03,0.43298864364624023,0.05352043733000755,111560,-32.995689392089844,17.663973140716553
1879,15.4,3,6.788490989999999,5691,201,0.03,-2.5168261528015137,0.054419465363025665,111800,-31.823102951049805,20.53108153343201
1881,15.33,3,6.727649749999999,5698,202,0.03,-4.025345325469971,0.045910775661468506,111940,-32.132076263427734,21.918717050552367
