time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
3,313.8543980222222,4395,15695,90,174.38888888888889,-0.5482808947563171,311880,0.061040908098220825,4.217117381095886,-120.80970764160156,0.03
3,315.14748476923074,4459,15926,91,175.01098901098902,-0.3304259777069092,316500,0.07692331820726395,4.666707742214203,-122.05780029296875,0.03
3,315.9058300108695,4511,16113,92,175.1413043478261,-0.9846409559249878,320240,0.06648566573858261,4.294839990139008,-121.48065185546875,0.03
3,317.01547801075264,4572,16324,93,175.5268817204301,1.077068567276001,324460,0.06271413713693619,4.477698445320129,-125.39299774169922,0.03
3,317.8221572765957,4630,16531,94,175.86170212765958,-1.7995407581329346,328600,0.07338736206293106,4.898459684848786,-123.05669403076172,0.03
3,318.2988602105263,4677,16703,95,175.82105263157894,0.591154932975769,332040,0.05838361755013466,4.665784537792206,-125.6577377319336,0.03
3,319.92342068749997,4743,16945,96,176.51041666666666,1.5643558502197266,336880,0.06948939710855484,5.619310283660889,-125.76072692871094,0.03
3,320.41243912371135,4791,17121,97,176.50515463917526,0.2047448456287384,340400,0.05716210603713989,4.192393505573273,-121.85110473632812,0.03
3,321.61447479591834,4854,17347,98,177.01020408163265,3.177995204925537,344920,0.06789277493953705,4.158964717388153,-126.93423461914062,0.03
3,322.0402044343434,4904,17530,99,177.07070707070707,-0.7271408438682556,348580,0.054178398102521896,4.283115828037262,-123.23312377929688,0.03
3,323.5591803,4970,17765,100,177.65,1.4819704294204712,353280,0.05681879073381424,4.665598380565643,-126.05340576171875,0.03
3,327.3720327799999,5031,17975,101,179.31,0.2678062319755554,357480,0.07391839474439621,4.857660603523255,-120.84737396240234,0.03
3,331.0865943399999,5082,18161,102,181.0,-1.203831672668457,361200,0.06374067068099976,4.218105542659759,-120.89083099365234,0.03
3,335.17285039999996,5143,18385,103,182.95,3.522749185562134,365680,0.0481172576546669,4.004977869987488,-123.08695220947266,0.03
