time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
12367,56348,248,405.76128273999996,4,323.65,-0.20015245191752912,0.003,1124940,-186.74439544677733,17.101852130889892,0.17417106106877328
12396,56486,249,406.24869721000005,4,323.36,0.17921630516648293,0.003,1127700,-186.08260345458984,20.209689140319824,0.17843857109546662
12494,56948,250,415.50500062,4,327.04,0.07395221721380948,0.003,1136940,-186.25171279907227,10.797169089317322,0.1491693690419197
12593,57384,251,421.92753144,4,329.06,0.0964780630543828,0.003,1145660,-170.1513816833496,11.283301067352294,0.13019204661250114
12763,58135,252,435.12264617000005,4,334.86,0.08416236694902182,0.003,1160680,-162.6287696838379,9.624566197395325,0.17336623519659042
12791,58261,253,430.78573535000004,4,330.56,0.21094287745654583,0.003,1163200,-168.26554107666016,11.968751978874206,0.20211512595415115
12818,58389,254,433.04589932000005,4,331.65,-0.17022831104695796,0.003,1165760,-171.27373733520508,8.445740270614625,0.16790029108524324
12836,58471,255,427.35956257000004,4,325.68,-0.22197021171450615,0.003,1167400,-174.06723861694337,6.675066900253296,0.1685056895017624
12907,58805,256,430.08454836000004,4,325.94,0.08419111110270024,0.003,1174080,-177.8913932800293,10.478771448135376,0.1991550587117672
13131,59805,257,445.59247359999995,4,333.28,-0.2957927882671356,0.003,1194080,-169.33153686523437,8.268863296508789,0.11970871165394784
13170,59977,258,447.86705739999996,4,333.21,-0.020815534889698027,0.003,1197520,-166.22223663330078,9.215832448005676,0.11538557261228562
13220,60204,259,451.4047642,4,334.95,0.1303241468966007,0.003,1202060,-165.6629264831543,15.664953088760376,0.1549159087240696
13282,60488,260,456.37998193,4,337.27,0.011648868769407272,0.003,1207740,-180.34176788330078,17.415598773956297,0.25607098639011383
13318,60653,261,459.72116910999995,4,338.41,-0.005428796960040927,0.003,1211040,-200.91643753051758,41.272957706451415,0.6773129135370255
13333,60721,262,458.13244143,4,335.51,0.01763234445825219,0.003,1212400,-234.5045539855957,54.1288646697998,0.631073847413063
13350,60799,263,458.0702284699999,4,335.23,0.01047307876870036,0.003,1213960,-248.20210037231445,40.1225284576416,0.6085626661777497
13404,61059,264,461.9238943699999,4,336.65,-0.09692763686180114,0.003,1219160,-286.35462188720703,37.50455017089844,0.42089155614376067
13612,61987,265,471.34234954,4,345.49,0.025739746820181608,0.003,1237720,-292.04181518554685,44.79056406021118,0.7937868267297745
13839,62987,266,481.72087039999997,4,355.04,-0.08830382432788611,0.003,1257720,-297.76550750732423,32.88462677001953,0.3136244460940361
13870,63126,267,483.2438442,4,355.94,-0.23465980738401412,0.003,1260500,-283.6967071533203,77.83163833618164,0.34646635949611665
13873,63143,268,482.90924191000005,4,355.19,0.040213140193372965,0.003,1260840,-296.31690216064453,210.2056728363037,0.889742061495781
13875,63150,269,472.34140524,4,345.26,-0.03540182812139392,0.003,1260980,-315.17223205566404,329.84368057250975,1.3509121477603911
13876,63157,270,469.65752255,4,343.3,-0.058537337183952334,0.003,1261120,-337.31810760498047,350.7332130432129,1.8716497421264648
13879,63166,271,468.68703702,4,342.81,-0.15933095514774323,0.003,1261300,-378.9318145751953,408.01784057617186,2.390929090976715
13881,63175,272,466.71991206999996,4,341.7,-0.11528841312974691,0.003,1261480,-423.50655975341795,580.4667556762695,2.876195549964905
13990,63692,273,471.44028635999996,4,344.94,-0.024144573078956455,0.003,1271820,-734.9009887695313,484.48878326416013,1.1046039640903473
14127,64330,274,478.95248951,4,350.4,-0.014847210748121143,0.003,1284580,-716.9189422607421,381.65935974121095,1.3872204005718232
14344,65330,275,495.05211260000004,4,359.07,0.04537651352584362,0.003,1304580,-498.24361419677734,115.08644485473633,0.40974241495132446
14561,66330,276,506.96878016999995,4,368.11,0.08514405526220799,0.003,1324580,-328.121728515625,30.403467655181885,0.2688419669866562
14725,67054,277,512.61102361,4,374.15,0.3260498562827706,0.003,1339060,-247.9254135131836,21.58569746017456,0.2266453720629215
14786,67321,278,510.78025841999994,4,373.17,-0.1807331258431077,0.003,1344400,-237.07087631225585,18.89162096977234,0.2671080753207207
14811,67431,279,509.20314877,4,373.09,0.10392105774953961,0.003,1346600,-235.16385955810546,18.289332962036134,0.25331010222434996
15028,68431,280,516.2277404399999,4,381.28,-0.4638644505292177,0.003,1366600,-189.0455337524414,11.732201051712035,0.13791490495204925
15099,68770,281,520.35988759,4,382.75,-0.04703350476920605,0.003,1373380,-186.92078399658203,10.889400815963745,0.12656315341591834
15153,69019,282,521.9922381,4,383.36,-0.07002076245844364,0.003,1378360,-176.5574981689453,8.348205947875977,0.1018480647355318
15369,70019,283,542.07370579,4,392.07,-0.2067162822932005,0.003,1398360,-167.0190872192383,6.081448769569397,0.10506215915083886
15403,70175,284,543.00423997,4,391.75,0.009424353018403053,0.003,1401480,-164.9544532775879,8.747464418411255,0.12118190340697765
15433,70306,285,537.52981209,4,383.06,-0.003981706500053406,0.003,1404100,-165.02711715698243,7.350799477100372,0.14328490123152732
15467,70458,286,539.63859298,4,383.66,-0.09135975986719132,0.003,1407140,-167.88982162475585,7.396192955970764,0.15504421889781952
15507,70634,287,531.69457573,4,375.42,0.3508109016343951,0.003,1410660,-170.66307220458984,5.731199109554291,0.1308068625628948
15540,70776,288,530.1889675399999,4,373.86,0.7483917653560639,0.003,1413500,-169.07245407104492,7.992669212818146,0.09475436694920063
15575,70933,289,527.94922599,4,369.72,-0.34903259221464394,0.003,1416640,-164.52886734008788,6.185664868354797,0.07777824588119983
15765,71822,290,538.31314594,4,368.61,0.310597094707191,0.003,1434420,-169.66877517700195,5.19603830575943,0.12103708274662495
15890,72399,291,548.32950895,4,370.35,-0.1322306774556637,0.003,1445960,-168.36626281738282,6.043984460830688,0.10784465707838535
15926,72564,292,549.52432492,4,370.07,-0.265964537858963,0.003,1449260,-169.91798782348633,4.467313075065613,0.12192732580006123
16126,73483,293,569.92811813,4,378.75,-0.07463333737105131,0.003,1467640,-168.71770477294922,6.268064355850219,0.10654008090496063
16184,73741,294,572.4672757000001,4,378.8,0.11631854251027107,0.003,1472800,-170.44940643310548,7.726498126983643,0.10361397676169873
16402,74741,295,593.4416983200001,4,387.27,0.5472082050517202,0.003,1492800,-172.85377807617186,6.6596885323524475,0.10104270055890083
16462,75015,296,595.9805386,4,387.5,-0.14832833223044872,0.003,1498280,-173.55561447143555,4.293584561347961,0.10727828592061997
16480,75105,297,592.82317661,4,384.0,-0.6211133524775505,0.003,1500080,-173.78031158447266,4.533457005023957,0.11788695752620697
16543,75394,298,599.7447226,4,386.58,0.22797257266938686,0.003,1505860,-175.14849395751952,6.047026419639588,0.10152653940021991
16692,76060,299,612.8943995100001,4,391.33,-0.047261863201856616,0.003,1519180,-174.15347213745116,5.414594459533691,0.10960767976939678
16743,76280,300,609.2759059100001,4,385.33,0.1051088735461235,0.003,1523580,-176.7614715576172,5.192269945144654,0.10943155102431774
16801,76535,301,606.8104771700001,4,379.29,-0.21134796924889088,0.003,1528680,-177.94148178100585,7.58107031583786,0.10231625773012638
16879,76881,302,611.56800051,4,379.56,-0.06786589585244655,0.003,1535600,-176.08846206665038,5.600669717788696,0.11477928161621094
16941,77173,303,606.5277617799999,4,372.48,-0.08950707409530878,0.003,1541440,-177.89861068725585,6.587323153018952,0.11096193566918373
17160,78173,304,620.4771594399999,4,373.25,-0.3176634028553963,0.003,1561440,-176.10060501098633,4.2884369730949405,0.10435808412730693
17227,78498,305,627.25972109,4,375.36,-0.22067860029637815,0.003,1567940,-179.32742309570312,6.617732214927673,0.11877957545220852
17309,78870,306,631.18960019,4,374.96,-0.20038456339389085,0.003,1575380,-184.33375091552733,6.111944401264191,0.11543297246098519
