rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
267.7685754105263,1892,162.8736842105263,15473,8,95,0.003,307440,0.10441414266824722,-242.32171630859375,6.251940453052521,1.290337324142456
267.76967533333334,1908,162.5625,15606,8,96,0.003,310100,0.10864724963903427,-242.87457275390625,5.625346982479096,0.6023330092430115
268.0738918041237,1927,162.46391752577318,15759,8,97,0.003,313160,0.10871437191963196,-244.8061065673828,5.366774833202362,0.07611466944217682
268.8685208367347,1950,162.89795918367346,15964,8,98,0.003,317260,0.10841584205627441,-242.57684326171875,5.279800260066986,1.3119444847106934
269.17571704040404,1970,162.95959595959596,16133,8,99,0.003,320640,0.11151987314224243,-240.63905334472656,5.76433629989624,-0.2630760371685028
269.71539552999997,1993,163.14,16314,8,100,0.003,324260,0.1208723857998848,-240.95974731445312,5.112183690071106,-0.1423877328634262
271.66106445,2005,163.99,16417,8,101,0.003,326320,0.11887717247009277,-238.8476104736328,6.825537204742432,-0.560099720954895
274.64763404,2024,165.38,16579,8,102,0.003,329560,0.10276386886835098,-234.639892578125,7.674181354045868,-1.468007206916809
275.58878825,2052,167.64,16826,8,103,0.003,334500,0.09363296627998352,-231.86082458496094,6.358585131168366,-0.48627692461013794
279.69547700000004,2075,169.42,17028,8,104,0.003,338540,0.08873797208070755,-233.18084716796875,8.537932324409486,-0.008246630430221558
285.56002716,2105,171.78,17292,8,105,0.003,343820,0.11921189725399017,-231.08163452148438,7.645879018306732,0.12629690766334534
288.99573716000003,2125,173.33,17465,8,106,0.003,347280,0.11719493567943573,-232.41110229492188,7.63531768321991,0.8173962831497192
292.13614707000005,2144,174.33,17635,8,107,0.003,350680,0.11986957490444183,-238.5068359375,6.948246026039124,0.6615438461303711
295.84380753,2167,174.18,17834,8,108,0.003,354660,0.11937303841114044,-237.67404174804688,6.8453047513961796,0.5481456518173218
295.05829320000004,2188,173.13,18018,8,109,0.003,358340,0.11281038820743561,-241.97018432617188,5.05999892950058,0.16442520916461945
294.20201928,2206,172.66,18172,8,110,0.003,361420,0.09504174441099167,-239.84597778320312,12.072747945785522,0.31060314178466797
297.53611159,2223,173.19,18326,8,111,0.003,364500,0.09768622368574142,-238.94314575195312,8.434144687652587,1.1133813858032227
300.78725485,2242,174.1,18485,8,112,0.003,367680,0.10748159885406494,-235.4401092529297,5.258829581737518,1.2451705932617188
305.26069506000005,2269,176.24,18715,8,113,0.003,372280,0.09629379957914352,-236.6473388671875,5.629710102081299,-0.4985837936401367
308.00977333000003,2286,176.95,18856,8,114,0.003,375100,0.10424266755580902,-238.51707458496094,7.56977641582489,0.9375203847885132
310.64040695999995,2307,177.0,19030,8,115,0.003,378580,0.09956043213605881,-236.6815185546875,7.381982839107513,1.425282597541809
310.95451318,2323,176.88,19171,8,116,0.003,381400,0.0968758687376976,-237.79063415527344,7.719372034072876,-0.1782614141702652
311.21840949,2335,175.5,19267,8,117,0.003,383320,0.10359866917133331,-233.39907836914062,7.1012067794799805,-0.8144786953926086
312.20563339,2355,175.93,19434,8,118,0.003,386660,0.09607904404401779,-231.34384155273438,6.250953042507172,0.6802897453308105
311.53268876,2371,175.16,19569,8,119,0.003,389360,0.09105253219604492,-233.64031982421875,5.4434646487236025,0.6883919835090637
310.62097499,2385,174.27,19696,8,120,0.003,391900,0.07649756968021393,-231.32186889648438,4.566305923461914,-0.25365951657295227
309.22059495999997,2398,172.71,19808,8,121,0.003,394140,0.08091748505830765,-226.67947387695312,4.325579869747162,0.1422606110572815
308.43668544,2418,171.31,19962,8,122,0.003,397220,0.07638393342494965,-223.817626953125,5.0582500219345095,0.8816080093383789
