time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
2,63.680761159999996,1780,5305,125,41.12,0.07886780798435211,0.03,104080,1.7960102558135986,-42.3896484375,70.97598972320557
2,61.24145928,1785,5319,126,39.93,0.08924901485443115,0.03,104360,-0.17570370435714722,-41.700653076171875,52.799006175994876
2,58.942605609999994,1790,5335,127,38.89,0.08551852405071259,0.03,104680,0.09829682111740112,-39.196109771728516,64.24502639770508
2,56.22114374999999,1795,5350,128,37.71,0.0808207094669342,0.03,104980,-1.8093066215515137,-37.68724060058594,54.127199459075925
2,52.55981784999999,1800,5363,129,35.99,0.08107196539640427,0.03,105240,1.7513082027435303,-34.61872863769531,68.07502899169921
2,50.28406738999999,1805,5378,130,34.9,0.09303205460309982,0.03,105540,0.008327066898345947,-47.182098388671875,42.74208812713623
2,47.291791649999986,1809,5391,131,33.49,0.08567619323730469,0.03,105800,-1.0882947444915771,-35.22710418701172,49.49758157730103
2,44.410282529999996,1815,5407,132,32.14,0.06788473576307297,0.03,106120,-0.7364786267280579,-39.93260192871094,50.85201454162598
2,41.16797239,1820,5421,133,30.51,0.06690220534801483,0.03,106400,1.537920355796814,-37.83377456665039,44.10866289138794
2,38.09338042,1824,5435,134,28.95,0.08937522768974304,0.03,106680,-3.1279561519622803,-37.22760772705078,42.58693351745605
2,34.978518689999994,1829,5449,135,27.45,0.08570969849824905,0.03,106960,-3.0801591873168945,-42.79967498779297,65.90036525726319
2,30.81396714,1835,5466,136,25.62,0.0637238398194313,0.03,107300,1.2157704830169678,-40.52880096435547,39.66957263946533
2,30.852728900000002,1841,5481,137,25.67,0.06918539851903915,0.03,107600,-0.6579508185386658,-35.875701904296875,44.245562648773195
2,30.776059670000006,1845,5494,138,25.6,0.06753785908222198,0.03,107860,-0.5685655474662781,-36.31361770629883,55.37448139190674
2,30.776580050000003,1850,5509,139,25.62,0.08489714562892914,0.03,108160,-0.6425343155860901,-35.676109313964844,45.40882587432861
2,30.811467910000005,1857,5528,140,25.69,0.07141543924808502,0.03,108540,1.6045231819152832,-40.54472732543945,35.38798370361328
2,30.823685000000005,1861,5540,141,25.7,0.05945254862308502,0.03,108780,-0.4687829613685608,-37.967254638671875,27.743858337402344
2,30.85553793,1866,5554,142,25.71,0.059127386659383774,0.03,109060,0.6884765625,-42.7304801940918,26.851976299285887
2,29.91852844,1871,5568,143,24.6,0.07755451649427414,0.03,109340,-0.7683506011962891,-39.08515930175781,27.15361919403076
2,29.98040228,1876,5583,144,24.66,0.07111666351556778,0.03,109640,-1.319795846939087,-39.87633514404297,32.3600977897644
2,30.011452360000003,1880,5596,145,24.68,0.05924585834145546,0.03,109900,1.2167333364486694,-35.815147399902344,24.620089054107666
2,30.03521483,1885,5610,146,24.71,0.06892269104719162,0.03,110180,-0.41542020440101624,-40.404510498046875,27.652143001556396
2,30.078996940000003,1890,5625,147,24.76,0.07156594097614288,0.03,110480,-2.2021548748016357,-37.20318603515625,29.457513523101806
2,26.822226350000005,1895,5639,148,23.01,0.0626782476902008,0.03,110760,1.6500864028930664,-40.130859375,24.324190425872803
2,26.900384200000005,1900,5654,149,23.08,0.06700774282217026,0.03,111060,1.0326100587844849,-34.88347625732422,22.22165184020996
2,26.96725187,1905,5669,150,23.16,0.064845971763134,0.03,111360,0.3598839342594147,-39.18646240234375,24.36301245689392
2,27.033140590000002,1911,5686,151,23.23,0.06234651431441307,0.03,111700,-0.71302330493927,-36.41818618774414,26.780696964263917
2,27.06518012,1916,5699,152,23.26,0.057560212910175323,0.03,111960,0.7874284386634827,-37.10802459716797,22.82901096343994
